,Unnamed: 0.1,Unnamed: 0,date,district,n_battles,n_explosions,n_protests,n_riots,n_strategicdev,n_violcivilians,n_conflict_total
354,354,354,2021-06-01,Banadir,26.0,7.0,5.0,,,10.0,48.0
355,355,355,2021-07-01,Banadir,21.0,10.0,1.0,,,8.0,40.0
356,356,356,2021-08-01,Banadir,33.0,3.0,1.0,,,8.0,45.0
357,357,357,2021-09-01,Banadir,21.0,7.0,1.0,,,9.0,38.0
358,358,358,2021-10-01,Banadir,6.0,,,,,1.0,7.0
359,359,359,2018-03-01,Bandarbeyla,,,,,,2.0,2.0
360,360,360,2019-12-01,Bandarbeyla,,,,,,1.0,1.0
361,361,361,2016-10-01,Baraawe,,,,,,1.0,1.0
362,362,362,2016-11-01,Baraawe,2.0,,,,,1.0,3.0
363,363,363,2017-01-01,Baraawe,3.0,2.0,,,,4.0,9.0
364,364,364,2017-03-01,Baraawe,2.0,2.0,,,,,4.0
