,date,district,MAM_admissions,SAM_admissions
879,2019-05-01,Ceel Afweyn,996.0,2.0
880,2019-06-01,Ceel Afweyn,222.0,11.0
881,2019-07-01,Ceel Afweyn,15.0,6.0
882,2019-08-01,Ceel Afweyn,2600.0,14.0
883,2019-09-01,Ceel Afweyn,308.0,11.0
884,2019-10-01,Ceel Afweyn,584.0,256.0
885,2019-11-01,Ceel Afweyn,500.0,132.0
886,2019-12-01,Ceel Afweyn,1495.0,116.0
887,2020-01-01,Ceel Afweyn,550.0,22.0
888,2020-02-01,Ceel Afweyn,78.0,20.0
889,2020-03-01,Ceel Afweyn,272.0,15.0
890,2020-04-01,Ceel Afweyn,360.0,17.0
891,2020-05-01,Ceel Afweyn,158.0,26.0
892,2020-06-01,Ceel Afweyn,390.0,24.0
893,2020-07-01,Ceel Afweyn,259.0,25.0
894,2020-08-01,Ceel Afweyn,294.0,21.0
895,2020-09-01,Ceel Afweyn,0.0,27.0
896,2020-10-01,Ceel Afweyn,306.0,18.0
897,2020-11-01,Ceel Afweyn,0.0,123.0
898,2020-12-01,Ceel Afweyn,184.0,18.0
899,2021-01-01,Ceel Afweyn,372.0,36.0
900,2021-02-01,Ceel Afweyn,306.0,41.0
901,2021-03-01,Ceel Afweyn,332.0,67.0
902,2021-04-01,Ceel Afweyn,215.0,46.0
903,2021-05-01,Ceel Afweyn,331.0,56.0
904,2021-06-01,Ceel Afweyn,164.0,73.0
905,2021-07-01,Ceel Afweyn,257.0,85.0
906,2021-08-01,Ceel Afweyn,345.0,57.0
907,2021-09-01,Ceel Afweyn,233.0,74.0
908,2021-10-01,Ceel Afweyn,145.0,53.0
909,2021-11-01,Ceel Afweyn,98.0,34.0
910,2019-01-01,Ceel Barde,274.0,493.0
911,2019-02-01,Ceel Barde,227.0,106.0
912,2019-03-01,Ceel Barde,175.0,170.0
913,2019-04-01,Ceel Barde,200.0,665.0
914,2019-05-01,Ceel Barde,154.0,306.0
915,2019-06-01,Ceel Barde,131.0,269.0
916,2019-07-01,Ceel Barde,126.0,379.0
917,2019-08-01,Ceel Barde,117.0,180.0
