,date,district,prevalence,next_prevalence,prevalence_6lag,ndvi,ipc,population,month,district_encoded,increase
611,2018-03-01,Buur Hakaba,0.2886,0.2886,0.3588,0.27,0.1,165968.46,3,24,True
612,2018-03-01,Taleex,0.2912,0.2912,0.442,0.12,0.37,57175.47,3,71,True
613,2018-03-01,Luuq,0.3926,0.3926,0.4315999999999998,0.17,0.0,100476.765,3,59,True
614,2018-03-01,Afgooye,0.351,0.351,0.3692,0.21,0.0,309683.38499999995,3,1,True
615,2018-03-01,Ceel Buur,0.4212,0.4212,0.52,0.19,0.14,141229.88999999998,3,32,True
616,2018-03-01,Bandarbeyla,0.3432000000000001,0.3432000000000001,0.4056,0.12,0.15,27594.135,3,10,True
617,2018-03-01,Ceel Dheer,0.4211999999999999,0.4211999999999999,0.52,0.17,0.19,130366.52999999998,3,33,True
618,2018-03-01,Cabudwaaq,0.4212,0.4212,0.5200000000000001,0.19,0.14,73330.78499999999,3,25,True
619,2018-03-01,Diinsoor,0.2886000000000001,0.2886000000000001,0.3588,0.27,0.09,100108.305,3,37,True
620,2018-03-01,Ceel Barde,0.4861999999999998,0.4861999999999998,0.4861999999999998,0.19,0.0,46070.955,3,31,True
621,2018-03-01,Gaalkacyo,0.4004,0.4004,0.4796931726673279,0.16,0.29,584319.6,3,40,True
622,2018-03-01,Burco,0.2028,0.2028,0.3359409653359994,0.16,0.05,534884.8949999999,3,21,True
623,2018-03-01,Caluula,0.3432,0.3432,0.4056,0.16,0.21,67184.955,3,28,True
624,2018-03-01,Qardho,0.3432,0.3432,0.4112666438059597,0.12,0.04,174970.88999999998,3,64,True
625,2018-03-01,Jilib,0.3925999999999999,0.3925999999999999,0.4316000000000001,0.32,0.09,103739.085,3,51,True
626,2018-03-01,Laas Caanood,0.2911999999999999,0.2911999999999999,0.442,0.13,0.26,170114.66999999998,3,55,True
627,2018-03-01,Kurtunwaarey,0.3510000000000001,0.3510000000000001,0.3691999999999999,0.32,0.18,95730.255,3,54,True
628,2018-03-01,Xudun,0.2912,0.2912,0.442,0.11,0.34,42361.515,3,76,True
629,2018-03-01,Jalalaqsi,0.3925999999999999,0.3925999999999999,0.4290000000000001,0.23,0.16,76346.775,3,48,True
630,2018-03-01,Ceerigaabo,0.3367000000000001,0.3367000000000001,0.4446,0.12,0.24,239221.62,3,35,True
631,2018-03-01,Jamaame,0.3926,0.3926,0.4316000000000001,0.3,0.25,169536.10499999998,3,49,True
633,2018-03-01,Belet Xaawo,0.3926,0.3926,0.4316000000000001,0.24,0.0,89717.93999999997,3,15,True
634,2018-03-01,Xudur,0.4862,0.4862,0.4862,0.2,0.14,113853.105,3,77,True
636,2018-03-01,Hobyo,0.4003999999999999,0.4003999999999999,0.4732,0.14,0.25,142717.185,3,46,True
637,2018-03-01,Ceel Waaq,0.3925999999999998,0.3925999999999998,0.4315999999999999,0.27,0.0,32041.53,3,34,True
638,2018-03-01,Iskushuban,0.3432,0.3432,0.4056,0.13,0.16,82588.86,3,47,True
639,2018-03-01,Baki,0.169,0.169,0.3796,0.12,0.1,70268.22,3,7,True
640,2018-03-01,Sheikh,0.2028,0.2028,0.3406,0.17,0.07,62404.28999999999,3,70,True
641,2018-03-01,Qoryooley,0.351,0.351,0.3691999999999998,0.29,0.09,196309.485,3,65,True
642,2018-03-01,Bulo Burto,0.3926,0.3926,0.429,0.22,0.25,181435.5,3,20,True
643,2018-03-01,Bossaso,0.3432,0.3432,0.4160559934810628,0.14,0.01,316531.98,3,18,True
644,2018-03-01,Qansax Dheere,0.2886,0.2886,0.3588,0.24,0.09,123818.085,3,63,True
645,2018-03-01,Ceel Afweyn,0.3367,0.3367,0.4446,0.13,0.27,137053.66499999998,3,30,True
646,2018-03-01,Baardheere,0.3925999999999999,0.3925999999999999,0.4316,0.25,0.0,170132.26499999998,3,3,True
647,2018-03-01,Jariiban,0.4004,0.4004,0.4731999999999999,0.14,0.2,83205.71999999999,3,50,True
648,2018-03-01,Belet Weyne,0.3926,0.3926,0.429,0.19,0.24,281126.69999999995,3,13,True
649,2018-03-01,Buuhoodle,0.2027999999999999,0.2027999999999999,0.3406000000000001,0.18,0.17,71317.70999999999,3,23,True
650,2018-03-01,Zeylac,0.1689999999999999,0.1689999999999999,0.3796,0.1,0.57,64412.19,3,78,True
651,2018-03-01,Tayeeglow,0.4861999999999999,0.4861999999999999,0.4861999999999999,0.24,0.08,99175.77,3,72,True
652,2018-03-01,Sablaale,0.3510000000000001,0.3510000000000001,0.3692,0.33,0.11,62978.715,3,69,True
653,2018-03-01,Gebiley,0.1975999999999999,0.1975999999999999,0.338,0.16,0.13,146038.5,3,44,True
654,2018-03-01,Cadale,0.351,0.351,0.3691999999999999,0.18,0.0,48461.80499999999,3,27,True
655,2018-03-01,Dhuusamarreeb,0.4212,0.4212,0.5273255872387238,0.19,0.18,162957.645,3,36,True
657,2018-03-01,Kismaayo,0.3925999999999999,0.3925999999999999,0.4255768922026957,0.28,0.17,218785.545,3,53,True
658,2018-03-01,Galdogob,0.4004,0.4004,0.4732,0.17,0.12,85807.70999999999,3,41,True
659,2018-03-01,Adan Yabaal,0.3510000000000001,0.3510000000000001,0.3692,0.19,0.0,65262.95999999999,3,0,True
660,2018-03-01,Eyl,0.3795999999999999,0.3795999999999999,0.4523999999999998,0.14,0.17,105162.21,3,39,True
661,2018-03-01,Xarardheere,0.4004000000000001,0.4004000000000001,0.4732000000000002,0.17,0.09,278193.50999999995,3,75,True
662,2018-03-01,Jowhar,0.351,0.351,0.3692000000000001,0.24,0.0,279295.785,3,52,True
663,2018-03-01,Cadaado,0.4212,0.4212,0.5199999999999999,0.17,0.15,81479.34,3,26,True
664,2018-03-01,Berbera,0.1976,0.1976,0.3387799937377845,0.1,0.17,111510.9,3,16,True
666,2018-04-01,Baki,0.169,0.169,0.3796,0.13,0.1,70268.22,4,7,True
667,2018-04-01,Qansax Dheere,0.2886,0.2886,0.3588,0.26,0.09,123818.085,4,63,True
668,2018-04-01,Galdogob,0.4004,0.4004,0.4732,0.19,0.12,85807.70999999999,4,41,True
669,2018-04-01,Bandarbeyla,0.3432000000000001,0.3432000000000001,0.4056,0.13,0.15,27594.135,4,10,True
670,2018-04-01,Xarardheere,0.4004000000000001,0.4004000000000001,0.4732000000000002,0.19,0.09,278193.50999999995,4,75,True
671,2018-04-01,Owdweyne,0.2028,0.2028,0.3406,0.16,0.3,78004.845,4,61,True
672,2018-04-01,Ceel Buur,0.4212,0.4212,0.52,0.21,0.14,141229.88999999998,4,32,True
674,2018-04-01,Caynabo,0.2911999999999999,0.2911999999999999,0.442,0.14,0.31,69235.29,4,29,True
675,2018-04-01,Qandala,0.3431999999999999,0.3431999999999999,0.4055999999999999,0.15,0.21,75823.06499999999,4,62,True
676,2018-04-01,Zeylac,0.1689999999999999,0.1689999999999999,0.3796,0.09,0.57,64412.19,4,78,True
677,2018-04-01,Buur Hakaba,0.2886,0.2886,0.3588,0.33,0.1,165968.46,4,24,True
678,2018-04-01,Taleex,0.2912,0.2912,0.442,0.12,0.37,57175.47,4,71,True
679,2018-04-01,Cabudwaaq,0.4212,0.4212,0.5200000000000001,0.21,0.14,73330.78499999999,4,25,True
680,2018-04-01,Jariiban,0.4004,0.4004,0.4731999999999999,0.15,0.2,83205.71999999999,4,50,True
681,2018-04-01,Ceerigaabo,0.3367000000000001,0.3367000000000001,0.4446,0.12,0.24,239221.62,4,35,True
682,2018-04-01,Burco,0.2028,0.2028,0.3359409653359994,0.18,0.05,534884.8949999999,4,21,True
683,2018-04-01,Wanla Weyn,0.351,0.351,0.3692,0.23,0.0,227667.915,4,74,True
684,2018-04-01,Adan Yabaal,0.3510000000000001,0.3510000000000001,0.3692,0.21,0.0,65262.95999999999,4,0,True
685,2018-04-01,Laas Caanood,0.2911999999999999,0.2911999999999999,0.442,0.13,0.26,170114.66999999998,4,55,True
686,2018-04-01,Burtinle,0.3795999999999999,0.3795999999999999,0.4524000000000001,0.18,0.08,112734.27,4,22,True
687,2018-04-01,Belet Xaawo,0.3926,0.3926,0.4316000000000001,0.32,0.0,89717.93999999997,4,15,True
688,2018-04-01,Badhaadhe,0.3926,0.3926,0.4316000000000001,0.48,0.09,50723.28,4,4,True
689,2018-04-01,Marka,0.351,0.351,0.3692,0.26,0.03,282222.765,4,60,True
690,2018-04-01,Xudun,0.2912,0.2912,0.442,0.11,0.34,42361.515,4,76,True
691,2018-04-01,Tayeeglow,0.4861999999999999,0.4861999999999999,0.4861999999999999,0.29,0.08,99175.77,4,72,True
692,2018-04-01,Kurtunwaarey,0.3510000000000001,0.3510000000000001,0.3691999999999999,0.31,0.18,95730.255,4,54,True
693,2018-04-01,Ceel Waaq,0.3925999999999998,0.3925999999999998,0.4315999999999999,0.41,0.0,32041.53,4,34,True
694,2018-04-01,Berbera,0.1976,0.1976,0.3387799937377845,0.1,0.17,111510.9,4,16,True
695,2018-04-01,Bu'aale,0.3925999999999999,0.3925999999999999,0.4316,0.38,0.0,93543.3,4,19,True
