,date,district,total population,Under-Five Population,GAM,MAM,SAM,GAM Prevalence,SAM Prevalence,phase3plus_perc_x,rainfall,ndvi_score,Price of water,Total alarms,n_conflict_total,Average of centy,Average of centx,6lag_next_prevalence,prevalence_6lag,next_prevalence,prevalence_1lag,month,increase,increase_numeric,district_encoded
81,2017-08-01,Badhaadhe,50723.28,10144.656,4378.433529600001,3719.030889600001,659.4026400000001,0.4316000000000001,0.065,0.15,25.38,0.56,,3.0,1.0,-0.8536984000000001,41.42942,0.3926,,0.4316000000000001,0.4316000000000001,8,True,0.0,4
82,2017-08-01,Taleex,57175.47,11435.094,5054.311548,3865.061772,1189.249776,0.442,0.104,0.39,1.48,0.12,,3.0,2.0,9.179458,48.54122,0.2912,,0.442,0.442,8,True,0.0,71
83,2017-08-01,Ceerigaabo,239221.62,47844.324,21271.5864504,16731.1601028,4540.426347600001,0.4446,0.0949,0.34,19.14,0.12,42.5,6.0,3.0,10.29076,47.8071,0.3367000000000001,,0.4446,0.4446,8,True,0.0,35
84,2017-08-01,Laasqoray,186893.055,37378.611,16618.530450600007,13071.300266700006,3547.230183899999,0.4446000000000001,0.0948999999999999,0.35,12.69,0.14,,1.0,1.0,10.53805,48.69515999999999,0.3367,,0.4446000000000001,0.4446000000000001,8,True,0.0,56
85,2017-08-01,Marka,282222.765,56444.55299999999,20839.328967599995,16143.142157999995,4696.1868096,0.3692,0.0832,0.17,16.91,0.31,36.5,14.0,15.0,1.740153,44.71787,0.351,,0.3692,0.3692,8,True,0.0,60
86,2017-08-01,Qardho,185616.89,37123.378,15267.6070768,12724.851204000002,2542.7558728,0.4112666438059597,0.0684947332325199,0.04,2.83,0.12,,2.0,1.0,9.502092,49.50765,0.3432,,0.4112666438059597,0.4112666438059597,8,True,0.0,64
87,2017-08-01,Bu'aale,93543.3,18708.66,8074.657656,6858.594756,1216.0629,0.4316,0.0649999999999999,0.07,17.78,0.39,30.0,2.0,1.0,1.197985,42.7408,0.3925999999999999,,0.4316,0.4316,8,True,0.0,19
88,2017-08-01,Sheikh,62404.28999999999,12480.858,4250.9802348,3196.3477338,1054.632501,0.3406,0.0845,0.26,27.45,0.14,,0.0,1.0,9.992453,45.42914,0.2028,,0.3406,0.3406,8,True,0.0,70
89,2017-08-01,Ceel Dheer,130366.52999999998,26073.306,13558.11912,10439.751722399998,3118.3673976,0.52,0.1196,0.38,14.61,0.16,25.0,1.0,1.0,4.051839,47.04732,0.4211999999999999,,0.52,0.52,8,True,0.0,33
90,2017-08-01,Garoowe,207534.915,41506.983,19024.629109200006,15697.506591,3327.122518200001,0.458347673913086,0.0801581391304687,0.13,0.99,0.13,4.25,7.0,2.0,8.470396000000001,48.78639,0.3795999999999999,,0.458347673913086,0.458347673913086,8,True,0.0,43
