,date,district,prevalence,next_prevalence,ndvi,ipc,population,rainfall,month,total_alarms,district_encoded
151,2018-07-01,Laasqoray,0.2261999999999999,0.3817815509494871,0.145,0.15,53800.5744763104,12.961666666666666,7,0.5,56
152,2018-07-01,Baki,0.2761092768701464,0.3124852051578765,0.1366666666666667,0.14,99262.17263864214,29.524999999999995,7,0.1666666666666666,7
153,2018-07-01,Taleex,0.2547557920787028,0.3787844823934796,0.125,0.44,38521.922596223885,9.59,7,1.1666666666666667,69
154,2018-07-01,Laas Caanood,0.2293654902134254,0.3237610476395274,0.1516666666666666,0.41,220788.33591955536,13.065,7,4.333333333333333,55
155,2018-07-01,Wanla Weyn,0.3788174337777663,0.4417324945420314,0.335,0.0,105508.44272316828,38.31,7,4.5,72
156,2018-07-01,Iskushuban,0.4846457772814762,0.4239158201206688,0.1333333333333333,0.08,60361.40289872798,6.125,7,0.6666666666666666,47
157,2018-07-01,Ceel Buur,0.3602624374798162,0.3168079047398306,0.24,0.17,75284.97791694281,25.290000000000003,7,1.1666666666666667,32
158,2018-07-01,Buur Hakaba,0.4846909879180319,0.47037719442215,0.4316666666666666,0.1,128204.6513460276,65.22166666666666,7,2.333333333333333,24
160,2018-07-01,Baardheere,0.2972606382668021,0.2870882907046133,0.365,0.07,122284.68350495162,70.635,7,2.6666666666666665,3
161,2018-07-01,Lughaye,0.4196119285022721,0.2962807470311721,0.0983333333333333,0.41,99442.45554944112,14.143333333333333,7,1.8333333333333333,58
162,2018-07-01,Cadaado,0.4263710655123516,0.3305779447408884,0.1999999999999999,0.14,108059.64692015851,34.7,7,1.6666666666666667,26
163,2018-07-01,Kurtunwaarey,0.4461179568825337,0.4391758387432182,0.4716666666666667,0.0,257277.9921167836,63.02,7,5.166666666666667,54
164,2018-07-01,Jariiban,0.4050420526164857,0.3547174345570384,0.1733333333333333,0.13,77164.65979907343,16.19666666666667,7,2.5,50
165,2018-07-01,Balcad,0.3580405856281527,0.4256324032458843,0.3266666666666666,0.03,211434.1247319937,32.92333333333333,7,3.6666666666666665,8
166,2018-07-01,Ceel Afweyn,0.2906972787612182,0.4201611561308622,0.1466666666666666,0.15,119189.63988343433,28.96333333333333,7,4.5,30
